specs,year
"['Single-player', 'Multi-player']",2008.0
['Single-player'],2005.0
['Single-player'],2005.0
['Single-player'],2006.0
"['Single-player', 'Multi-player']",2008.0
['Single-player'],2007.0
['Single-player'],2007.0
['Single-player'],2008.0
"['Single-player', 'Multi-player', 'Partial Controller Support']",2008.0
['Single-player'],2008.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Includes level editor']",2008.0
"['Single-player', 'Multi-player', 'Steam Trading Cards']",2007.0
"['Single-player', 'Steam Achievements']",2008.0
"['Single-player', 'Multi-player']",2008.0
['Single-player'],1998.0
"['Single-player', 'Steam Trading Cards']",1997.0
"['Single-player', 'Multi-player', 'Downloadable Content']",2008.0
"['Single-player', 'Multi-player']",2001.0
['Single-player'],1997.0
['Single-player'],1993.0
"['Single-player', 'Multi-player']",2008.0
['Single-player'],2008.0
['Single-player'],2007.0
"['Single-player', 'Multi-player']",1998.0
"['Single-player', 'Steam Cloud']",2008.0
"['Single-player', 'Multi-player', 'Steam Achievements']",2008.0
"['Single-player', 'Multi-player', 'Downloadable Content']",2008.0
"['Single-player', 'Steam Achievements']",2008.0
"['Single-player', 'Multi-player']",2008.0
['Single-player'],2003.0
"['Single-player', 'Shared/Split Screen', 'Full controller support']",2008.0
['Single-player'],2008.0
"['Single-player', 'Steam Achievements']",2008.0
['Single-player'],2008.0
"['Single-player', 'Steam Achievements']",2008.0
"['Single-player', 'Multi-player']",2006.0
['Single-player'],2006.0
['Single-player'],2005.0
['Single-player'],2007.0
['Single-player'],2008.0
"['Single-player', 'Multi-player', 'Co-op']",2007.0
"['Single-player', 'Multi-player']",2002.0
['Single-player'],2008.0
"['Single-player', 'Steam Achievements']",2008.0
"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",2008.0
"['Multi-player', 'Mods', 'Steam Achievements']",2008.0
"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",2008.0
"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']",2008.0
"['Single-player', 'Partial Controller Support']",2008.0
"['Single-player', 'Multi-player']",2008.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",2008.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Steam Cloud']",2009.0
"['Single-player', 'Full controller support']",2008.0
"['Single-player', 'Full controller support']",2008.0
"['Single-player', 'Full controller support', 'Partial Controller Support']",2009.0
"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",2008.0
"['Single-player', 'Multi-player']",2009.0
"['Single-player', 'Steam Achievements']",2008.0
"['Single-player', 'Multi-player', 'Steam Achievements']",2007.0
"['Single-player', 'Steam Achievements']",2009.0
"['Single-player', 'Multi-player']",2005.0
['Single-player'],2009.0
"['Single-player', 'Downloadable Content', 'Stats']",2009.0
"['Single-player', 'Multi-player', 'Shared/Split Screen']",2009.0
"['Single-player', 'Captions available']",2007.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",2007.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2008.0
"['Single-player', 'Multi-player']",2009.0
"['Single-player', 'Steam Achievements']",2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements']",2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements']",2009.0
"['Single-player', 'Steam Achievements']",2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player', 'Co-op']",2009.0
['Single-player'],2009.0
"['Multi-player', 'MMO']",2006.0
"['Multi-player', 'MMO']",2005.0
"['Multi-player', 'MMO']",2006.0
"['Multi-player', 'MMO']",2008.0
"['Multi-player', 'Steam Cloud']",2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Partial Controller Support']",2009.0
['Single-player'],2009.0
"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",2009.0
"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements']",2009.0
"['Single-player', 'Steam Cloud']",2008.0
['Single-player'],2009.0
"['Single-player', 'Steam Cloud']",2009.0
"['Single-player', 'Multi-player']",2005.0
"['Single-player', 'Multi-player']",2002.0
"['Single-player', 'Steam Achievements']",2009.0
"['Multi-player', 'Mods', 'Partial Controller Support', 'Includes level editor']",2009.0
['Single-player'],2009.0
['Single-player'],2004.0
"['Single-player', 'Steam Cloud']",2007.0
"['Single-player', 'Steam Cloud']",2002.0
['Single-player'],2007.0
"['Single-player', 'Multi-player', 'Co-op']",1999.0
"['Single-player', 'Multi-player']",1998.0
"['Single-player', 'Multi-player']",2008.0
['Single-player'],2009.0
['Single-player'],2007.0
['Single-player'],2006.0
['Single-player'],2008.0
['Single-player'],2007.0
"['Single-player', 'Partial Controller Support']",2008.0
['Single-player'],2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player', 'Partial Controller Support']",2009.0
"['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",2007.0
"['Single-player', 'Local Co-op', 'Steam Cloud']",1992.0
"['Single-player', 'Steam Cloud']",2003.0
"['Single-player', 'Partial Controller Support', 'Steam Cloud']",2005.0
['Single-player'],1989.0
"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",2008.0
"['Single-player', 'Full controller support', 'Steam Cloud']",2009.0
['Single-player'],2008.0
['Single-player'],2009.0
"['Single-player', 'Steam Achievements']",2009.0
"['Single-player', 'Game demo']",2009.0
['Single-player'],2006.0
['Single-player'],2006.0
"['Single-player', 'Multi-player']",2007.0
['Single-player'],2006.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']",2009.0
['Single-player'],2008.0
['Single-player'],2009.0
['Single-player'],2009.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2008.0
"['Single-player', 'Multi-player', 'Partial Controller Support', 'Steam Cloud']",2009.0
"['Single-player', 'Co-op', 'Partial Controller Support']",2009.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",2009.0
"['Single-player', 'Steam Cloud']",2003.0
"['Single-player', 'Steam Achievements']",2009.0
"['Single-player', 'Steam Cloud']",1998.0
"['Single-player', 'Multi-player', 'Steam Cloud']",2001.0
"['Single-player', 'Multi-player']",1999.0
"['Single-player', 'Game demo']",2009.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2005.0
['Single-player'],2009.0
"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",2009.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],1999.0
['Single-player'],2009.0
"['Single-player', 'Downloadable Content']",2009.0
['Single-player'],2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player', 'Co-op']",2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2009.0
['Single-player'],2009.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Steam Trading Cards']",2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player', 'Downloadable Content']",2009.0
"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",2009.0
"['Single-player', 'Multi-player']",2007.0
"['Single-player', 'Multi-player']",2009.0
"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']",2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player']",2009.0
"['Single-player', 'Downloadable Content']",2009.0
"['Single-player', 'Multi-player']",2009.0
"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Cloud', 'Includes level editor']",2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player']",2009.0
['Single-player'],2009.0
"['Single-player', 'Steam Cloud']",2009.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2005.0
['Single-player'],2003.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2009.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Leaderboards']",2009.0
"['Single-player', 'Multi-player']",2009.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",2009.0
"['Single-player', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud']",2009.0
"['Single-player', 'Partial Controller Support']",2007.0
"['Single-player', 'Partial Controller Support']",2008.0
['Single-player'],2007.0
['Single-player'],2008.0
"['Single-player', 'Multi-player']",2009.0
"['Single-player', 'Multi-player', 'Steam Trading Cards']",2009.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support']",2009.0
"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",2005.0
"['Single-player', 'Multi-player', 'Co-op', 'Mods']",2009.0
"['Single-player', 'Partial Controller Support', 'Steam Cloud']",2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player', 'Downloadable Content']",2009.0
['Single-player'],2007.0
['Single-player'],2008.0
['Single-player'],2009.0
['Single-player'],2009.0
"['Single-player', 'Multi-player']",2009.0
"['Single-player', 'Full controller support']",2008.0
['Single-player'],2010.0
['Single-player'],2009.0
"['Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Mods', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Includes Source SDK']",2010.0
['Single-player'],2008.0
['Single-player'],2010.0
['Single-player'],2009.0
['Single-player'],2007.0
['Single-player'],2009.0
['Single-player'],2010.0
['Single-player'],2010.0
['Single-player'],2010.0
['Single-player'],2010.0
"['Single-player', 'Shared/Split Screen']",2010.0
"['Single-player', 'Multi-player']",2010.0
"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']",2010.0
"['Multi-player', 'Co-op', 'Downloadable Content']",2010.0
"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",2010.0
['Single-player'],2007.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor']",2001.0
"['Single-player', 'Downloadable Content']",2010.0
"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",2010.0
"['Single-player', 'Full controller support', 'Partial Controller Support']",2010.0
"['Multi-player', 'Steam Achievements', 'Steam Leaderboards']",2010.0
"['Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player']",2010.0
"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",2010.0
"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",2010.0
['Single-player'],2010.0
['Single-player'],2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']",2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2010.0
['Single-player'],2003.0
"['Single-player', 'Multi-player']",2001.0
"['Single-player', 'Steam Achievements']",2010.0
"['Single-player', 'Multi-player']",2006.0
['Single-player'],2008.0
['Downloadable Content'],2010.0
['Single-player'],2008.0
['Single-player'],2009.0
['Single-player'],2009.0
['Single-player'],2007.0
['Single-player'],2009.0
['Single-player'],2010.0
['Single-player'],2008.0
['Single-player'],2007.0
['Single-player'],2009.0
['Single-player'],2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",2008.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2010.0
['Single-player'],2010.0
['Single-player'],2010.0
"['Single-player', 'Steam Achievements', 'Steam Leaderboards']",2010.0
['Single-player'],2010.0
"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Leaderboards']",2010.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2010.0
['Single-player'],2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Local Co-op', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop']",2010.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
['Single-player'],2010.0
"['Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support']",2010.0
"['Single-player', 'Downloadable Content', 'Partial Controller Support']",2010.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",2010.0
"['Single-player', 'Downloadable Content', 'Partial Controller Support']",2010.0
"['Single-player', 'Downloadable Content', 'Partial Controller Support']",2010.0
"['Single-player', 'Downloadable Content', 'Partial Controller Support']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Stats', 'Includes level editor']",2010.0
"['Single-player', 'Downloadable Content', 'Partial Controller Support']",2010.0
['Single-player'],2003.0
"['Single-player', 'Multi-player', 'Steam Achievements']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Includes level editor']",2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Downloadable Content']",2010.0
"['Single-player', 'Multi-player']",2008.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Leaderboards']",2010.0
['Single-player'],2010.0
"['Multi-player', 'Co-op', 'Downloadable Content']",2010.0
"['Single-player', 'Downloadable Content']",2010.0
"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support']",2011.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats']",2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']",2010.0
['Multi-player'],2010.0
"['Single-player', 'Multi-player']",2010.0
"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Partial Controller Support']",2010.0
"['Single-player', 'Multi-player', 'Steam Trading Cards']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",2010.0
['Single-player'],2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player']",2002.0
['Single-player'],2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",2010.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",2010.0
"['Multi-player', 'Downloadable Content']",2010.0
"['Single-player', 'Full controller support']",2010.0
"['Single-player', 'Multi-player', 'Downloadable Content']",2010.0
"['Single-player', 'Full controller support', 'Captions available', 'Commentary available']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Steam Trading Cards']",2010.0
"['Single-player', 'Steam Trading Cards']",2010.0
"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",2010.0
['Single-player'],2010.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2010.0
"['Single-player', 'Steam Cloud', 'Includes level editor']",2010.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",2010.0
"['Single-player', 'Downloadable Content', 'Steam Achievements']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor']",2002.0
"['Single-player', 'Multi-player']",2010.0
"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",2010.0
"['Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",2010.0
"['Single-player', 'Steam Cloud']",1999.0
"['Single-player', 'Multi-player']",2010.0
"['Single-player', 'Multi-player', 'MMO', 'Co-op']",2007.0
"['Single-player', 'Steam Cloud']",2000.0
['Single-player'],2010.0
['Single-player'],2010.0
"['Single-player', 'Multi-player']",2010.0
"['Single-player', 'Steam Achievements']",2010.0
"['Single-player', 'Multi-player', 'Co-op', 'Partial Controller Support']",2010.0
"['Single-player', 'Steam Achievements']",2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2010.0
['Single-player'],2010.0
"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",2010.0
"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",2010.0
"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",2010.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2010.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
"['Single-player', 'Partial Controller Support']",2010.0
