app_name,year
Sam & Max: The Devil’s Playhouse,2010
M.U.D. TV,2010
Wings of Luftwaffe Add-on,2010
The Misadventures of P.B. Winterbottom,2010
AquaNox 2: Revelation,2003
AquaNox,2001
Fluttabyes,2010
Hidden Expedition: Titanic,2006
Hidden Expedition: Amazon,2008
Napoleon: Total War™ - Coalition Battle Pack,2010
Fitness Dash™,2008
Gemini Lost™,2009
DinerTown Detective Agency™,2009
Mahjong Roadshow™,2007
Hotel Dash™ Suite Success™,2009
Nightshift Legacy: The Jaguar's Eye™,2010
The Nightshift Code™,2008
TriJinx: A Kristine Kross Mystery™,2007
Valerie Porter and the Scarlet Scandal™,2009
Biozone,2010
Iron Grip: Warlord,2008
Rocket Knight,2010
Max and the Magic Marker,2010
Flight of the Icarus,2010
Puzzler World,2010
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010
Ziro,2010
Altered Beast™,2010
Comix Zone™,2010
SEGA Mega Drive and Genesis Classics,2010
Golden Axe™,2010
Ecco the Dolphin™,2010
Gain Ground™,2010
Shinobi™ III: Return of the Ninja Master,2010
Crack Down™,2010
VectorMan™,2010
Shadow Dancer™,2010
Space Harrier™ II,2010
Alpha Protocol™,2010
Alien Breed: Impact,2010
Fallout 3 - Point Lookout,2010
Defense Grid: Resurgence Map Pack 1,2010
Fallout 3 - Mothership Zeta,2010
Fallout 3 - Broken Steel,2010
Fallout 3 - The Pitt,2010
Alien Swarm,2010
Fallout 3 - Operation Anchorage,2010
SimCity™ 4 Deluxe Edition,2003
Disciples III - Renaissance Steam Special Edition,2010
Tidalis,2010
Razor2: Hidden Skies,2010
The Settlers 7: Uncharted Land Map Pack,2010
Dimensity,2008
Kane & Lynch 2: Dog Days,2010
The Guild II Renaissance,2010
Hearts of Iron III DLC: German II Spritepack,2010
Trainz Simulator DLC: Blue Comet,2010
Fantasy Wars,2010
Mafia II,2011
Train Simulator: Network Southeast Class 47 Loco Add-On,2010
Puzzle Quest 2,2010
Burn Zombie Burn!,2010
Madballs B*D*I Clan Skins,2010
Madballs Scorched Evolution Skin Rollup,2010
Madballs BDI Evolution Skin Rollup,2010
Madballs Holiday Skin Rollup,2010
Victoria I Complete,2010
Ship Simulator Extremes,2010
Worms Reloaded,2010
Making History II: The War of the World,2010
Arma 2: British Armed Forces,2010
Victoria II,2010
Madballs Scorched Clan Skins,2010
Kane & Lynch 2: The Doggie Bag,2010
Kane & Lynch 2: Multiplayer Masks Pack,2010
Trainz: Classic Cabon City,2010
Kane & Lynch 2: Alliance Weapon Pack,2010
Cossacks: Back to War,2002
Broken Sword: Director's Cut,2010
Chime,2010
Mafia II DLC: Jimmy's Vendetta,2010
Sniper: Ghost Warrior - Map Pack,2010
VVVVVV,2010
The Settlers 7: Conquest - The Empire Expansion DLC,2010
Amnesia: The Dark Descent,2010
Recettear: An Item Shop's Tale,2010
Swarm Arena,2010
Super Thunder Blade™,2010
Galaxy Force II™,2010
Hacker Evolution,2010
Hacker Evolution: Untold,2010
Faerie Solitaire,2010
Patrician IV - Steam Special Edition,2010
Bonanza Bros.™,2010
King's Bounty: Crossworlds,2010
Train Simulator: Green & Gold HST DMU Add-On,2010
Sid Meier's Civilization® V,2010
Commander: Conquest of the Americas - Colonial Navy,2010
Serious Sam Classic: The Second Encounter,2002
Star Ruler,2010
Blade Kitten,2010
Alien Breed 2: Assault,2010
Serious Sam HD: Gold Edition,2010
Darksiders™,2010
X: Beyond the Frontier,1999
The Kings' Crusade,2010
Guild Wars: Eye of the North®,2007
X: Tension,2000
Governor of Poker 2,2010
Governor of Poker 2 - Premium Edition,2010
Medal of Honor™,2010
Grotesque Tactics: Evil Heroes,2010
Lost Planet® 2,2010
Doc Clock: The Toasted Sandwich of Time,2010
Fallout: New Vegas,2010
The Polynomial - Space of the music,2010
Puzzle Bots,2010
Nimbus,2010
Civilization V - Babylon (Nebuchadnezzar II),2010
DeathSpank,2010
Virtua Fighter™ 2,2010
Columns™ III,2010
Sword of Vermilion™,2010
Golden Axe™ II,2010
Sonic The Hedgehog,2010
Ecco™: The Tides of Time,2010
Bio-Hazard Battle™,2010
Alien Storm,2010
Shank,2010
The Ball,2010
STAR WARS™: The Force Unleashed™ II,2010
Flight Control HD,2010
Patrician III,2010
BIT.TRIP BEAT,2010
Theatre of War 2 - Battle for Caen,2010
Woody Two-Legs: Attack of the Zombie Pirates,2010
Clones,2010
Victoria II: Interwar Spritepack,2010
Front Mission Evolved: Wanzer Pack 2,2010
Pound of Ground,2010
Pat & Mat,2009
Alternativa,2010
Fish Fillets 2,2007
Archon Classic,2010
Call of Duty®: Black Ops,2010
Rhythm Zone Tornado Visualizer DLC,2010
Oddworld: Munch's Oddysee,2010
Rhythm Zone DJ Table Visualizer DLC,2010
Oddworld: Stranger's Wrath HD,2010
Clickr,2010
Back to the Future: The Game,2010
Grand Theft Auto III,2002
Grand Theft Auto: San Andreas,2005
Lara Croft GoL: Raziel and Kain Character Pack,2011
Lara Croft GoL: Things that Go Boom - Challenge Pack 2,2011
Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,2011
Lara Croft GoL: All the Trappings - Challenge Pack 1,2011
Grand Theft Auto: Vice City,2003
Zeit²,2011
A.R.E.S.: Extinction Agenda,2011
APOX,2011
Dead Space™ 2,2011
Drawn®: The Painted Tower,2011
Kaptain Brawe: A Brawe New World,2011
Monday Night Combat,2011
Luxor: 5th Passage,2011
Alien Soldier,2011
Shining in the Darkness,2011
Light Crusader,2011
Landstalker: The Treasures of King Nole,2011
Gunstar Heroes,2011
ToeJam & Earl,2011
Streets of Rage 2,2011
Sonic The Hedgehog 2,2011
Streets of Rage,2011
Shining Force II,2011
Shining Force,2011
The Sims™ 3,2009
Ship Simulator Extremes: Sigita Pack,2011
The Sims™ 3 Fast Lane Stuff,2010
The Sims™ 3 World Adventures,2009
The Sims™ 3 Late Night,2010
The Sims™ 3 Ambitions,2010
The Sims™ 3 High-End Loft Stuff,2010
Trino,2011
Mishap 2: An Intentional Haunting - Collector's Edition,2011
The Sims™ 3 Outdoor Living Stuff,2011
Who's That Flying?!,2011
Myst: Masterpiece Edition,2011
Guardians of Graxia: Elves & Dwarves,2011
Two Worlds II HD,2011
YOU DON’T KNOW JACK®,2011
King Arthur: The Druids,2011
Gratuitous Space Battles: Galactic Conquest,2011
The Kings' Crusade: New Allies,2011
DUNGEONS - Steam Special Edition,2011
AI War: Light of the Spire,2011
Drakensang: The River of Time,2011
RISK™: Factions,2011
Crazy Machines 2: Time Travel Add-On,2011
BIT.TRIP RUNNER,2011
Homefront,2011
Fate of the World,2011
B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),2011
"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",2011
"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",2011
"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",2011
"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",2011
RIFT,2013
"Warhammer 40,000: Dawn of War II: Retribution",2011
Dinner Date,2011
"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",2011
Shadow Harvest: Phantom Ops,2011
Cities in Motion: Design Classics,2011
Ship Simulator Extremes: Ferry Pack,2011
"Warhammer 40,000: Dawn of War II: Retribution: Dark Angels Pack",2011
STCC The Game 2 – Expansion Pack for RACE 07,2011
Anomaly: Warzone Earth,2011
Armada 2526,2010
Darkest Hour: A Hearts of Iron Game,2011
Dungeons: Into the Dark DLC Pack,2011
Dino D-Day,2011
Patrician IV: Rise of a Dynasty,2011
Portal 2,2011
Magicka: Vietnam,2011
Sanctum,2011
Majesty 2 Collection,2011
"Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC",2011
Dawn of War II: Retribution – The Last Stand,2011
"Warhammer 40,000: Dawn of War II - Retribution - Farseer Wargear DLC",2011
Frozen Synapse,2011
"Warhammer 40,000: Dawn of War II: Retribution - Captain Wargear DLC",2011
Winter Voices Episode 4: Amethyst Rivers,2011
Hunted: The Demon’s Forge™,2011
Hamilton's Great Adventure,2011
The Sims™ 3 Generations,2011
Cities in Motion: Tokyo,2011
Magicka: Nippon,2011
Ghostbusters: Sanctum of Slime Challenge Pack DLC,2011
Still Life 2,2009
Still Life,2005
Call of Duty®: Black Ops Escalation Content Pack,2011
Dungeon Siege III,2011
Duke Nukem Forever,2011
A.V.A. Alliance of Valiant Arms™,2011
Champions Online,2009
Spectromancer - Truth & Beauty,2011
Cities in Motion: Design Now,2011
Two Worlds II Castle Defense,2011
The Cat and the Coup,2011
Magic: The Gathering - Duels of the Planeswalkers 2012,2011
Ancients of Ooga,2011
Beat Hazard Ultra,2011
Frozen Synapse: Soundtrack,2011
Solar 2,2011
Ironclads: Schleswig War 1864,2011
Ironclads: Anglo Russian War 1866,2011
Magicka: Final Frontier,2011
Ironclads: Chincha Islands War 1866,2011
F.E.A.R. 3,2011
Magicka: Frozen Lake,2011
Magicka: The Watchtower,2011
Trainz Simulator DLC: The Duchess,2011
Magicka: Party Robes,2011
Europa Universalis III: Western - AD 1400 Spritepack,2011
Dungeons and Dragons: Daggerdale,2011
RETRO – Expansion Pack for RACE 07,2011
Farming Simulator 2011 Equipment Pack 2,2011
Europa Universalis III: Eastern - AD 1400 Spritepack,2011
Hearts of Iron III: For the Motherland,2011
Worms Reloaded: Puzzle Pack,2011
Worms Reloaded: Retro Pack,2011
Worms Reloaded: Time Attack Pack,2011
Dungeons: Map Pack DLC,2011
Worms Reloaded: Forts Pack,2011
Puzzle Agent 2,2011
Killing Floor: Steampunk Character Pack,2011
Pride of Nations: Spanish-American War 1898,2011
Tobe's Vertical Adventure,2011
Fallout New Vegas: Old World Blues,2011
"Warhammer 40,000: Dawn of War II: Retribution - Ulthwe Wargear DLC",2011
IL-2 Sturmovik: Cliffs of Dover,2011
Lucid,2011
Train Simulator: BR Class 421 '4CIG' Loco,2011
Homefront: Express 870 Shotgun,2011
Runespell: Overture,2011
Men of War: Assault Squad - Skirmish Pack,2011
Aaaaa! - Brutal Concussion,2011
Delve Deeper: Treasures and Tunnels,2011
A.R.E.S.: Berzerker Suit,2011
Cities in Motion: Metro Stations,2011
Nancy Drew®: Secrets Can Kill REMASTERED,2010
ARMA: Cold War Assault,2011
SpaceChem: 63 Corvi,2011
Tropico 4,2011
Nancy Drew®: The Captive Curse,2011
Nancy Drew®: Trail of the Twister,2010
The Clockwork Man,2011
Pride of Nations: American Civil War 1862,2011
EDGE,2011
Civilization V - Civ and Scenario Pack: Korea,2011
Civilization V - Scenario Pack: Wonders of the Ancient World,2011
Sanctum: Official Soundtrack,2011
Hacker Evolution Duality,2011
Space Pirates and Zombies,2011
Section 8: Prejudice Frontier Colonies Map Pack,2011
Section 8: Prejudice Blitz Pack,2011
Section 8: Prejudice Overdrive Map Pack,2011
"Warhammer 40,000: Dawn of War II - Ultramarines Pack",2011
Fallout New Vegas®: Lonesome Road™,2011
Puzzle Pirates,2011
The Baconing,2011
"Warhammer 40,000: Space Marine",2011
Men of War: Vietnam,2011
Hard Reset Extended Edition,2012
Pride of Nations: The Franco-Prussian War 1870,2011
Wasteland Angel,2011
Rock of Ages,2011
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011
Call of Juarez®: The Cartel,2011
Cities in Motion: German Cities,2011
Magic: The Gathering 2012 - Expansion,2011
Sengoku,2011
Astro Tripper,2011
Nancy Drew®: Shadow at the Water's Edge,2010
Two Worlds II - Pirates of the Flying Fortress,2011
Bunch of Heroes,2011
Duke Nukem Forever: Hail to the Icons Parody Pack,2011
Might & Magic: Heroes VI,2011
Supreme Commander: Forged Alliance,2011
The Binding of Isaac,2011
Farming Simulator 2011 Equipment Pack 3,2011
Off-Road Drive,2011
Supreme Commander,2007
Fate of the World: Tipping Point,2011
Post Apocalyptic Mayhem: DLC - Chaos Pack,2011
Fate of the World: Denial,2011
Fate of the World: Migration,2011
Sniper: Ghost Warrior - Second Strike,2011
Air Conflicts: Secret Wars,2011
Fate of the World: Extras Pack,2011
Dead Rising 2: Off the Record,2011
The Baconing DLC - Roesha – One Bad Mutha Co-op Character,2011
Disciples III - Resurrection,2011
Memoir '44 Online,2011
Train Simulator: Amtrak Acela Express EMU Add-On,2011
Costume Quest,2011
The Sims™ 3 Pets,2011
Gratuitous Space Battles: The Parasites,2011
Serious Sam: The Random Encounter,2011
Puzzler World 2,2011
Airline Tycoon 2,2011
ArcaniA: Fall of Setarrif,2011
The Haunted: Hells Reach,2011
Orcs Must Die! - Artifacts of Power,2011
Dungeon Siege III: Treasures of the Sun,2011
DC Universe™ Online,2011
Saints Row: The Third Initiation Station,2011
Tropico 4: Junta Military DLC,2011
Sonic Generations Collection,2011
Nancy Drew®: Alibi in Ashes,2011
Orcs Must Die! - Lost Adventures,2011
Call of Duty®: Modern Warfare® 3,2011
L.A. Noire,2011
L.A. Noire: DLC Bundle,2011
Men of War: Assault Squad - MP Supply Pack Charlie,2011
"Jamestown: Gunpowder, Treason, & Plot",2011
Dungeon Defenders Halloween Mission Pack,2011
Fractal: Make Blooms Not War,2011
Magicka: Horror Props Item Pack,2011
SkyDrift,2011
Magicka: Holiday Spirit Item Pack,2011
Total War: SHOGUN 2 - The Hattori Clan Pack,2011
Total War: Shogun 2 - Blood Pack DLC,2011
Magicka: The Stars Are Left,2011
Europa Universalis III: Reformation SpritePack,2011
Real Warfare 1242,2010
Batman Arkham City: Nightwing Bundle,2011
Galactic Civilizations® II: Ultimate Edition,2011
Train Simulator: West Coast Main Line North Route Add-On,2011
APB Reloaded,2011
Blackwell Unbound,2012
Batman Arkham City: Robin Bundle,2011
Men of War: Assault Squad - Skirmish Pack 2,2011
Killing Floor - Steampunk Character Pack 2,2011
Flatout 3: Chaos & Destruction,2011
Assassin's Creed Revelations - The Ancestors Character Pack,2011
Dungeon Defenders The Great Turkey Hunt! Mission & Costumes,2011
Tropico 4: Plantador DLC,2011
Earth Defense Force: Insect Armageddon,2011
Magic 2012 Deck Pack 2,2011
"Warhammer 40,000: Space Marine - Golden Relic Chainsword",2011
"Warhammer 40,000: Space Marine - Traitor Legions Pack",2011
Dungeons of Dredmor: Realm of the Diggle Gods,2011
"Warhammer 40,000: Space Marine - Emperor’s Elite Pack",2011
Pirates of Black Cove: Origins,2011
"Warhammer 40,000: Space Marine - Golden Relic Bolter",2011
Sanctum: X-Mas Carnage (Free DLC),2011
X3: Albion Prelude,2011
Trine 2: Complete Story,2013
Dungeon Defenders - Quest for the Lost Eternia Shards Part 1,2011
Satazius Demo,2011
Bunch of Heroes: Holiday Pack (Free DLC),2011
SATAZIUS,2011
Fable - The Lost Chapters,2011
Renegade Ops - Reinforcement Pack,2011
Crazy Machines 2: Happy New Year DLC,2011
Dungeon Defenders - Etherian Holiday Extravaganza,2011
Saints Row: The Third Warrior Pack,2011
Renegade Ops - Coldstrike Campaign,2011
"Warhammer 40,000: Space Marine - Alpha Legion Champion Armour Set",2011
"Warhammer 40,000: Space Marine - Salamanders Veteran Armour Set",2011
"Warhammer 40,000: Space Marine - Blood Angels Veteran Armour Set",2011
"Warhammer 40,000: Space Marine - Legion of the Damned Armour Set",2011
"Warhammer 40,000: Space Marine - Chaos Unleashed Map Pack",2011
Earth Defense Force Tactician Advanced Tech Package,2011
Earth Defense Force Trooper Special Issue Enforcer Package,2011
Batman Arkham City: Challenge Map Pack,2011
Batman Arkham City: Arkham City Skins Pack,2011
Earth Defense Force Battle Armor Weapon Chest,2011
Oil Rush,2012
Train Simulator: Woodhead Route Add-On,2012
King Arthur II: The Role-Playing Wargame,2012
King Arthur II: Dead Legions,2012
Serious Sam 2,2005
Fortune Summoners,2012
Star Trek Online,2010
Dungeon Defenders: Barbarian Hero DLC,2012
