sentiment,year
Very Positive,2010
Very Positive,2002
Very Positive,2005
8 user reviews,2011
4 user reviews,2011
6 user reviews,2011
Mixed,2011
Very Positive,2003
Mostly Positive,2011
Mostly Positive,2011
Mostly Negative,2011
Very Positive,2011
Very Positive,2011
Mostly Positive,2011
Very Positive,2011
Mostly Positive,2011
5 user reviews,2011
2 user reviews,2011
3 user reviews,2011
5 user reviews,2011
4 user reviews,2011
5 user reviews,2011
6 user reviews,2011
9 user reviews,2011
7 user reviews,2011
4 user reviews,2011
8 user reviews,2011
Very Positive,2009
8 user reviews,2011
Positive,2010
Positive,2009
Very Positive,2010
Positive,2010
Mostly Positive,2010
Mostly Positive,2011
2 user reviews,2011
7 user reviews,2011
Mostly Positive,2011
Mixed,2011
2 user reviews,2011
Mixed,2011
Very Positive,2011
1 user reviews,2011
3 user reviews,2011
Neutral,2011
Mixed,2011
5 user reviews,2011
Mostly Positive,2011
Mostly Positive,2011
1 user reviews,2011
Very Positive,2011
Mixed,2011
Very Positive,2011
Mostly Positive,2011
Neutral,2011
1 user reviews,2011
Neutral,2011
1 user reviews,2011
Mostly Positive,2013
Very Positive,2011
Mixed,2011
Neutral,2011
Mostly Negative,2011
1 user reviews,2011
Mostly Positive,2011
2 user reviews,2011
Positive,2011
Very Positive,2011
Mixed,2010
Very Positive,2011
Neutral,2011
Very Positive,2011
Mixed,2011
Overwhelmingly Positive,2011
Very Positive,2011
Very Positive,2011
Mostly Positive,2011
Neutral,2011
Positive,2011
Neutral,2011
Very Positive,2011
Neutral,2011
3 user reviews,2011
Mixed,2011
Mostly Positive,2011
Positive,2011
Neutral,2011
Positive,2011
Neutral,2011
Mixed,2009
Very Positive,2005
Mostly Positive,2011
Mixed,2011
Mixed,2011
Mixed,2011
Mostly Positive,2009
1 user reviews,2011
1 user reviews,2011
Mixed,2011
Very Positive,2011
Very Positive,2011
Mostly Positive,2011
Very Positive,2011
Neutral,2011
Very Positive,2011
9 user reviews,2011
Mixed,2011
Positive,2011
7 user reviews,2011
Mostly Positive,2011
Mostly Positive,2011
Mostly Positive,2011
Neutral,2011
Mostly Positive,2011
Neutral,2011
Mostly Negative,2011
Positive,2011
Neutral,2011
Neutral,2011
4 user reviews,2011
9 user reviews,2011
6 user reviews,2011
5 user reviews,2011
Neutral,2011
7 user reviews,2011
Very Positive,2011
Positive,2011
Neutral,2011
Mostly Positive,2011
Very Positive,2011
Neutral,2011
Mixed,2011
Mostly Positive,2011
9 user reviews,2011
Positive,2011
Mostly Positive,2011
Mixed,2011
3 user reviews,2011
1 user reviews,2011
7 user reviews,2011
6 user reviews,2011
Mostly Positive,2010
Very Positive,2011
Positive,2011
Very Positive,2011
Positive,2011
Mixed,2010
Mixed,2011
Neutral,2011
Very Positive,2011
Mixed,2011
Positive,2011
5 user reviews,2011
Mostly Negative,2011
Very Positive,2011
9 user reviews,2011
5 user reviews,2011
5 user reviews,2011
2 user reviews,2011
Very Positive,2011
Very Positive,2011
Mostly Positive,2011
Very Positive,2011
Mixed,2011
Very Positive,2012
Neutral,2011
Mixed,2011
Very Positive,2011
Very Positive,2011
Mixed,2011
Neutral,2011
4 user reviews,2011
Mixed,2011
Mixed,2011
Mostly Positive,2010
Very Positive,2011
Mixed,2011
Mostly Positive,2011
Mixed,2011
Overwhelmingly Positive,2011
Overwhelmingly Positive,2011
1 user reviews,2011
Mixed,2011
Very Positive,2007
Very Positive,2011
Positive,2011
1 user reviews,2011
1 user reviews,2011
Positive,2011
Mixed,2011
1 user reviews,2011
Mostly Positive,2011
2 user reviews,2011
Mostly Negative,2011
Mixed,2011
Mixed,2011
Overwhelmingly Positive,2011
Very Positive,2011
3 user reviews,2011
Mixed,2011
Mostly Positive,2011
Very Negative,2011
Mostly Negative,2011
Very Positive,2011
Positive,2011
Positive,2011
Very Positive,2011
Mostly Positive,2011
Positive,2011
Very Positive,2011
Positive,2011
Positive,2011
Very Positive,2011
Very Positive,2011
Very Positive,2011
2 user reviews,2011
Positive,2011
6 user reviews,2011
Mostly Positive,2011
9 user reviews,2011
Very Positive,2011
Positive,2011
2 user reviews,2011
Positive,2011
Mostly Negative,2011
3 user reviews,2011
Mixed,2010
2 user reviews,2011
Mostly Positive,2011
Mostly Positive,2011
Mixed,2011
Very Positive,2012
2 user reviews,2011
9 user reviews,2011
5 user reviews,2011
Overwhelmingly Negative,2011
Mixed,2011
8 user reviews,2011
Positive,2011
Very Positive,2011
5 user reviews,2011
9 user reviews,2011
7 user reviews,2011
8 user reviews,2011
Positive,2011
1 user reviews,2011
Mostly Positive,2011
7 user reviews,2011
Very Positive,2011
Overwhelmingly Positive,2013
9 user reviews,2011
3 user reviews,2011
5 user reviews,2011
Very Positive,2011
Very Positive,2011
4 user reviews,2011
1 user reviews,2011
Mixed,2011
Mixed,2011
9 user reviews,2011
8 user reviews,2011
6 user reviews,2011
Positive,2011
6 user reviews,2011
Mixed,2011
1 user reviews,2011
Neutral,2011
Neutral,2011
3 user reviews,2011
Neutral,2011
Mixed,2012
Positive,2012
Mixed,2012
5 user reviews,2012
Very Positive,2005
Very Positive,2012
Mostly Positive,2010
Positive,2012
Mostly Positive,2012
Mixed,2012
Very Positive,2012
Positive,2012
Very Positive,2012
Very Positive,2012
Very Positive,2012
Mostly Negative,2012
Mostly Negative,2012
Neutral,2012
Very Positive,2012
Mostly Positive,2012
Positive,2012
Neutral,2012
3 user reviews,2012
Very Positive,2012
Mostly Negative,2010
7 user reviews,2012
Mostly Negative,2011
Mostly Negative,2012
Very Positive,2012
1 user reviews,2012
Very Positive,2012
Mostly Positive,2012
Mostly Positive,2012
Mixed,2012
Very Positive,2012
Mixed,2012
Mixed,2012
Neutral,2012
Very Positive,2012
Very Positive,2012
Very Positive,2012
Very Positive,2012
Mixed,2012
Very Positive,2012
Very Positive,2012
Mostly Negative,2012
Positive,2012
Mostly Positive,2012
Mostly Negative,2012
Mostly Negative,2012
Mixed,2012
5 user reviews,2012
5 user reviews,2012
Mostly Positive,2012
Mixed,2012
5 user reviews,2012
4 user reviews,2012
Very Positive,2012
6 user reviews,2012
Very Positive,2012
Mixed,2012
Mixed,2012
Mostly Positive,2012
Positive,2012
Very Positive,2012
Very Positive,2012
Mixed,2012
Neutral,2012
Positive,2012
Positive,2012
Very Positive,2012
Mostly Negative,2012
Positive,2012
Mixed,2012
Mixed,2012
Very Positive,2012
Mostly Negative,2012
Positive,2012
Mixed,2012
5 user reviews,2012
Positive,2012
Mixed,2012
Very Positive,2014
Mixed,2012
Neutral,2012
Mostly Positive,2012
6 user reviews,2012
Positive,2012
Very Positive,2012
Very Positive,2012
Very Positive,2012
1 user reviews,2012
Mixed,2012
4 user reviews,2012
Mostly Positive,2012
4 user reviews,2012
3 user reviews,2012
2 user reviews,2012
6 user reviews,2012
8 user reviews,2010
9 user reviews,2012
Positive,2012
Mostly Positive,2012
8 user reviews,2012
Mostly Positive,2012
Mixed,2012
Mostly Positive,2012
Mixed,2012
Neutral,2012
9 user reviews,2012
Very Positive,2012
Mixed,2012
Positive,2012
Overwhelmingly Positive,2012
6 user reviews,2012
Very Positive,2012
Very Positive,2012
6 user reviews,2012
Mixed,2012
Positive,2012
Positive,2012
Very Positive,2012
Very Positive,2012
Overwhelmingly Positive,2012
Mixed,2012
Very Positive,2012
6 user reviews,2012
Mostly Positive,2012
4 user reviews,2012
Positive,2012
Very Positive,2012
Very Positive,2012
6 user reviews,2012
Mostly Positive,2012
Mixed,2012
5 user reviews,2012
Mostly Positive,2012
Very Positive,2012
Mostly Positive,2012
Very Positive,2012
Very Positive,2002
Mixed,2012
Neutral,2012
Mixed,2012
8 user reviews,2012
Very Positive,2012
Neutral,2012
1 user reviews,2012
Neutral,2012
1 user reviews,2012
1 user reviews,2012
Very Positive,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Mixed,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
1 user reviews,2012
Neutral,2012
Neutral,2012
2 user reviews,2012
Neutral,2012
Neutral,2012
Mixed,2012
5 user reviews,2012
6 user reviews,2012
Neutral,2012
Very Positive,2012
Neutral,2012
1 user reviews,2012
Mostly Positive,2012
Very Positive,2012
Neutral,2012
Very Positive,2012
1 user reviews,2012
Mostly Positive,2012
Mixed,2012
5 user reviews,2012
Mostly Positive,2012
Positive,2012
Mostly Positive,2012
Positive,2012
Very Positive,2012
9 user reviews,2012
5 user reviews,2012
Positive,2012
Mostly Positive,2012
Very Positive,2012
Very Positive,2012
Very Positive,2005
Very Positive,2010
Mixed,2012
8 user reviews,2012
2 user reviews,2012
4 user reviews,2012
Neutral,2012
3 user reviews,2012
Neutral,2012
Neutral,2012
2 user reviews,2012
Very Positive,2012
Neutral,2012
3 user reviews,2012
Neutral,2012
2 user reviews,2012
3 user reviews,2012
3 user reviews,2012
Neutral,2012
3 user reviews,2012
Very Positive,2012
Overwhelmingly Positive,2012
Overwhelmingly Positive,2011
Very Positive,2012
5 user reviews,2012
Very Positive,2012
Neutral,2012
Mostly Positive,2012
Very Positive,2012
3 user reviews,2012
7 user reviews,2012
6 user reviews,2012
6 user reviews,2012
3 user reviews,2012
3 user reviews,2012
4 user reviews,2012
Mixed,2012
1 user reviews,2012
1 user reviews,2012
3 user reviews,2012
2 user reviews,2012
3 user reviews,2012
3 user reviews,2012
4 user reviews,2012
Very Positive,2012
Very Positive,2012
Mixed,2012
Very Positive,2012
2 user reviews,2012
Very Positive,2012
2 user reviews,2012
Mixed,2012
Very Positive,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Very Positive,2012
Very Positive,2012
Very Positive,2012
8 user reviews,2012
8 user reviews,2012
9 user reviews,2012
Mixed,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
2 user reviews,2012
Neutral,2012
Neutral,2012
1 user reviews,2012
1 user reviews,2012
1 user reviews,2012
1 user reviews,2012
1 user reviews,2012
1 user reviews,2012
1 user reviews,2012
Very Positive,2012
Very Positive,2012
Very Positive,2012
Mostly Positive,2012
2 user reviews,2012
2 user reviews,2012
Very Positive,2012
Positive,2012
Mixed,2012
Mostly Positive,2012
Overwhelmingly Positive,2012
Mixed,2012
Mixed,2012
5 user reviews,2012
1 user reviews,2012
Very Positive,2012
Very Positive,2006
Mixed,2004
7 user reviews,2012
Very Positive,2012
Neutral,2012
Neutral,2012
Overwhelmingly Positive,2003
3 user reviews,2012
Mostly Positive,2012
Very Positive,2012
Very Negative,2012
Positive,2012
3 user reviews,2012
3 user reviews,2012
Neutral,2012
Very Positive,2012
Very Positive,2012
Mostly Positive,2012
Mixed,2012
Neutral,2012
Neutral,2012
Neutral,2012
Very Positive,2012
4 user reviews,2012
6 user reviews,2012
Neutral,2012
8 user reviews,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Mostly Positive,2004
Positive,2012
Positive,2012
Positive,2012
Positive,2012
Mostly Positive,2012
Positive,2012
Very Positive,2012
Mixed,2012
Very Positive,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
5 user reviews,2012
Mixed,2012
Mostly Positive,2012
3 user reviews,2012
Mixed,2012
Very Positive,2012
Very Positive,2005
Neutral,2012
Very Positive,2012
Overwhelmingly Positive,2012
4 user reviews,2012
3 user reviews,2012
Mostly Positive,2012
Very Positive,2012
Very Positive,2003
Mostly Positive,2012
Mostly Positive,2001
Positive,2012
Mixed,2012
Mixed,2012
2 user reviews,2012
Neutral,2012
Mostly Positive,2012
Neutral,2012
Very Positive,2012
Positive,2011
5 user reviews,2012
7 user reviews,2012
8 user reviews,2012
Very Positive,2012
Positive,2012
Neutral,2012
Neutral,2012
Neutral,2012
Neutral,2012
Mostly Positive,2012
Mixed,2012
1 user reviews,2012
Mostly Positive,2013
1 user reviews,2013
2 user reviews,2013
Mixed,2013
1 user reviews,2013
8 user reviews,2013
Positive,2013
Very Positive,2013
Neutral,2013
Positive,2013
3 user reviews,2013
Neutral,2013
6 user reviews,2013
Positive,2013
Positive,2013
4 user reviews,2013
1 user reviews,2013
Positive,2013
Positive,2013
4 user reviews,2013
Positive,2013
7 user reviews,2013
Very Positive,2013
Very Positive,2013
Mixed,2013
Very Positive,2013
Very Positive,2013
6 user reviews,2013
Mostly Positive,2013
3 user reviews,2013
Very Positive,2012
4 user reviews,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
Mixed,2013
Neutral,2013
Mixed,2013
3 user reviews,2013
Overwhelmingly Positive,2013
9 user reviews,2013
Mixed,2013
Mixed,2013
2 user reviews,2013
1 user reviews,2013
Neutral,2013
Mixed,2013
Mixed,2013
Neutral,2013
Neutral,2013
Neutral,2013
4 user reviews,2013
5 user reviews,2013
Neutral,2013
Mostly Positive,2013
1 user reviews,2013
Neutral,2013
Neutral,2013
Mixed,2013
Neutral,2013
Very Positive,2013
9 user reviews,2013
7 user reviews,2013
Mostly Positive,2013
Mostly Positive,2013
Mixed,2013
2 user reviews,2013
Very Positive,2013
Positive,2013
Mostly Positive,2013
Neutral,2013
8 user reviews,2013
Very Positive,1997
Mostly Positive,2013
Positive,2013
Positive,2013
3 user reviews,2013
Very Positive,2013
Mostly Positive,2013
Mixed,2013
Mixed,2013
Mixed,2013
Mixed,2013
Mixed,2013
Mostly Positive,2013
Mixed,2013
3 user reviews,2013
Mixed,2013
Very Positive,2013
Very Positive,2013
9 user reviews,2013
Mixed,2013
Very Positive,2013
7 user reviews,2013
2 user reviews,2013
Mostly Positive,2013
Positive,2013
5 user reviews,2013
3 user reviews,2013
1 user reviews,2013
Positive,2013
Positive,2013
5 user reviews,2013
6 user reviews,2013
Overwhelmingly Positive,2013
6 user reviews,2013
Very Positive,2013
5 user reviews,2013
Very Positive,2013
Mostly Positive,2013
Mixed,2013
9 user reviews,2013
5 user reviews,2013
7 user reviews,2013
7 user reviews,2013
Mostly Positive,2013
Very Positive,2013
Mixed,2013
Very Positive,2013
Very Positive,2013
Mixed,2013
Mixed,2017
5 user reviews,2013
Mostly Positive,2013
Very Positive,2013
Positive,2013
6 user reviews,2013
Mixed,2013
Positive,2013
Very Positive,2013
Very Positive,2013
Very Positive,1983
Mixed,2013
Neutral,2013
Positive,2013
Very Positive,2013
4 user reviews,2013
Mixed,2013
Mostly Positive,2013
Mostly Positive,2013
Mixed,2013
Positive,2013
Mixed,2013
Neutral,2013
Positive,2013
6 user reviews,2013
Very Positive,2013
Mixed,2013
Mixed,2013
Mixed,2013
Mixed,2013
Neutral,2013
Positive,2013
Positive,2013
Positive,2013
Neutral,2013
6 user reviews,2013
Mostly Negative,2013
Very Positive,2013
Mixed,2013
Mostly Positive,2013
1 user reviews,2013
1 user reviews,2013
1 user reviews,2013
1 user reviews,2013
1 user reviews,2013
Positive,2013
Positive,2013
3 user reviews,2013
Mostly Positive,2013
Mostly Positive,2013
6 user reviews,2013
4 user reviews,2013
Very Positive,2013
Very Positive,2013
4 user reviews,2013
1 user reviews,2013
Mixed,2013
Positive,2013
4 user reviews,2013
Mixed,2013
Very Positive,2013
Mostly Positive,2013
Mixed,2013
Positive,2013
Mostly Positive,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
8 user reviews,2013
Positive,2013
Mostly Positive,2013
Positive,2013
Neutral,2013
Positive,2013
1 user reviews,2013
9 user reviews,2013
Positive,2013
Positive,2013
Very Positive,2013
Positive,2013
8 user reviews,2013
Neutral,2013
Very Positive,2013
Mostly Positive,2013
Positive,2013
Positive,2013
Positive,2013
Very Positive,2013
Mixed,2013
Mostly Positive,2013
Very Positive,1997
Very Positive,2013
1 user reviews,2013
3 user reviews,2013
Positive,2013
8 user reviews,2013
Overwhelmingly Positive,2013
Positive,2013
Very Positive,2013
Mixed,2013
Mixed,2013
2 user reviews,2013
Mostly Positive,2013
Very Positive,2013
Very Positive,2013
4 user reviews,2013
2 user reviews,2013
Positive,2013
1 user reviews,2013
Very Positive,2013
Very Negative,2013
Positive,2013
Neutral,2013
Very Positive,2013
Mixed,2013
Mixed,2013
Very Positive,2013
3 user reviews,2013
Mostly Positive,2013
3 user reviews,2013
Very Positive,2013
Neutral,2013
8 user reviews,2013
Mixed,2013
Mostly Positive,2013
Mixed,2013
2 user reviews,2013
1 user reviews,2013
9 user reviews,2013
Very Positive,2013
Very Positive,2013
2 user reviews,2013
Positive,2011
Very Positive,2010
Positive,2012
Mixed,2012
3 user reviews,2013
Neutral,2013
Neutral,2013
Mostly Positive,2013
1 user reviews,2013
2 user reviews,2013
1 user reviews,2013
Very Positive,2013
Mixed,2012
6 user reviews,2013
Very Positive,2013
Very Positive,2013
Positive,2013
Mostly Positive,2013
4 user reviews,2013
Positive,2013
Mostly Positive,2013
Very Positive,2013
Mostly Positive,2013
Mostly Positive,2013
2 user reviews,2013
Mixed,2013
Very Positive,2013
Positive,2013
Positive,2013
Mostly Positive,2013
Very Positive,1984
4 user reviews,2013
1 user reviews,2013
1 user reviews,2013
Neutral,2013
Overwhelmingly Positive,2015
Very Positive,2013
5 user reviews,2014
5 user reviews,2013
Mostly Positive,2015
1 user reviews,2013
Overwhelmingly Positive,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
Neutral,2013
Mostly Negative,2013
Neutral,2013
Very Positive,2013
Positive,2013
3 user reviews,2013
Positive,2013
8 user reviews,2013
Positive,2013
Very Positive,2013
8 user reviews,2013
Overwhelmingly Positive,2013
Mixed,2013
Very Positive,2013
2 user reviews,2013
Positive,2013
9 user reviews,2013
Mixed,2013
Positive,2013
1 user reviews,2013
4 user reviews,2013
Mostly Positive,2013
1 user reviews,2013
Mixed,2008
Mostly Positive,2013
Mostly Positive,2013
Positive,2013
Very Positive,2013
Very Positive,2013
Positive,2013
Mixed,2013
